epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1112.59,1.10331,1.46328,1.26727,0.92996,0.87324,0.92606,0.68205,0.98375,0.58793,1.26615,0.00011896,0.00011896,0.00011896
2,1910.94,1.04105,0.89769,1.22466,0.95549,0.94874,0.98168,0.74266,0.93454,0.44445,1.19448,0.000228537,0.000228537,0.000228537
3,2695.8,1.00668,0.79894,1.20428,0.98463,0.9837,0.98914,0.75201,0.90674,0.39085,1.18415,0.000328689,0.000328689,0.000328689
4,3479.16,0.97649,0.70715,1.18375,0.9846,0.98644,0.98991,0.76824,0.86805,0.35491,1.18958,0.000314588,0.000314588,0.000314588
5,4275.06,0.93957,0.6415,1.16241,0.99134,0.99058,0.99141,0.77638,0.85939,0.33531,1.12601,0.000300451,0.000300451,0.000300451
6,5070.29,0.9154,0.59896,1.14568,0.99129,0.99281,0.99255,0.78157,0.83824,0.31602,1.10743,0.000286314,0.000286314,0.000286314
7,5853.47,0.89592,0.5638,1.13204,0.99397,0.99429,0.99289,0.79315,0.80844,0.29503,1.08631,0.000272177,0.000272177,0.000272177
8,6657.05,0.87722,0.53349,1.12101,0.99341,0.9929,0.99253,0.7929,0.79553,0.29225,1.07493,0.00025804,0.00025804,0.00025804
9,7454.6,0.86594,0.51352,1.11065,0.99398,0.99379,0.99193,0.80363,0.77825,0.28409,1.06697,0.000243902,0.000243902,0.000243902
10,8295.19,0.8546,0.49568,1.10489,0.99444,0.99514,0.99313,0.80764,0.76936,0.27245,1.06379,0.000229765,0.000229765,0.000229765
11,9126.9,0.83407,0.47211,1.09392,0.99458,0.99519,0.99284,0.81311,0.75385,0.26685,1.04523,0.000215628,0.000215628,0.000215628
12,9886.99,0.82649,0.45747,1.09296,0.99462,0.99503,0.99367,0.81577,0.74506,0.26363,1.05961,0.000201491,0.000201491,0.000201491
13,10646,0.81167,0.44283,1.08572,0.99477,0.99559,0.99415,0.81893,0.73511,0.25432,1.03966,0.000187354,0.000187354,0.000187354
14,11403.3,0.8032,0.42638,1.08261,0.99442,0.99604,0.99412,0.82527,0.723,0.25558,1.04674,0.000173216,0.000173216,0.000173216
15,12160.4,0.79499,0.41965,1.07481,0.99562,0.99574,0.99421,0.82733,0.71507,0.24634,1.0188,0.000159079,0.000159079,0.000159079
16,12900.1,0.74315,0.28402,1.06706,0.99463,0.99653,0.99455,0.83128,0.70775,0.24824,1.01914,0.000144942,0.000144942,0.000144942
17,13639.2,0.72871,0.27775,1.05355,0.99621,0.99581,0.99425,0.83574,0.69186,0.24229,1.0043,0.000130805,0.000130805,0.000130805
